table,function,metric,ssim,estimateerrorbound,pixerror
nycdata,boxcox0,ours,1.0,0.0,0.0
nycdata,divide,ours,0.9718,0.044,0.019
nycdata,func1,ours,1.0,0.0,0.0
nycdata,L2,ours,0.9888,0.021,0.006
nycdata,L22,ours,0.9883,0.018,0.007
nycdata,L2LN,ours,0.9754,0.049,0.021
nycdata,max,ours,0.9994,0.001,0.0
nycdata,mean,ours,0.9757,0.039,0.016
nycdata,minus,ours,0.9811,0.028,0.012
nycdata,multi,ours,0.9785,0.049,0.013
nycdata,plus,ours,0.9765,0.044,0.014
nycdata,variance,ours,0.9952,0.007,0.002
nycdata,weightsum,ours,0.9878,0.018,0.006
sensordata,boxcox0,ours,1.0,0.0,0.0
sensordata,divide,ours,0.9965,0.005,0.002
sensordata,func1,ours,1.0,0.0,0.0
sensordata,L2,ours,0.9999,0.0,0.0
sensordata,L22,ours,0.969,0.044,0.022
sensordata,L2LN,ours,0.9806,0.047,0.014
sensordata,max,ours,1.0,0.0,0.0
sensordata,mean,ours,0.9999,0.001,0.0
sensordata,minus,ours,0.9977,0.004,0.001
sensordata,multi,ours,0.9719,0.04,0.019
sensordata,plus,ours,0.9865,0.019,0.009
sensordata,variance,ours,0.9997,0.0,0.0
sensordata,weightsum,ours,0.9999,0.0,0.0
soccerdata,boxcox0,ours,1.0,0.0,0.0
soccerdata,divide,ours,0.9702,0.046,0.022
soccerdata,func1,ours,1.0,0.0,0.0
soccerdata,L2,ours,0.9974,0.007,0.001
soccerdata,L22,ours,0.9999,0.0,0.0
soccerdata,L2LN,ours,0.9732,0.05,0.022
soccerdata,max,ours,0.9953,0.011,0.004
soccerdata,mean,ours,0.9885,0.038,0.006
soccerdata,minus,ours,0.9905,0.012,0.004
soccerdata,multi,ours,0.9947,0.011,0.003
soccerdata,plus,ours,0.9998,0.0,0.0
soccerdata,variance,ours,0.9993,0.001,0.0
soccerdata,weightsum,ours,0.9936,0.013,0.003
stockdata,boxcox0,ours,1.0,0.0,0.0
stockdata,divide,ours,0.9766,0.035,0.014
stockdata,func1,ours,1.0,0.0,0.0
stockdata,L2,ours,0.9998,0.0,0.0
stockdata,L22,ours,1.0,0.0,0.0
stockdata,L2LN,ours,0.9787,0.046,0.013
stockdata,max,ours,1.0,0.0,0.0
stockdata,mean,ours,0.9988,0.002,0.0
