experiment,table,function,errorbound,width,time,ssim,memory(kb),estimateerrorbound,pixerror
ours-cpp,nycdata,boxcox0,0.01,600,0.01,1.0,592324,0.0,0.0
ours-cpp,synthetic32m,multi,0.05,1000,0.04,0.9734,329444,0.045,0.014
ours-cpp,synthetic32m,mean,0.01,1000,0.124,0.995,486244,0.006,0.002
ours-cpp,synthetic8m,func1,0.1,200,0.006,1.0,170332,0.0,0.0
ours-cpp,synthetic8m,max,0.01,1200,0.054,0.9949,399404,0.004,0.002
ours-cpp,soccerdata,L22,0.0,1000,0.044,1.0,973904,0.0,0.0
ours-cpp,sensordata,func1,0.0,800,0.022,1.0,821940,0.0,0.0
ours-cpp,synthetic256m,boxcox0,0.0,400,0.011,1.0,1390932,0.0,0.0
ours-cpp,synthetic32m,mean,0.0,1200,0.233,1.0,672360,0.0,0.0
ours-cpp,soccerdata,multi,0.01,1000,0.032,0.9963,586384,0.008,0.002
ours-cpp,synthetic64m,minus,0.1,1200,0.081,0.9823,415232,0.028,0.006
ours-cpp,synthetic2m,variance,0.1,1000,0.04,0.9812,144152,0.052,0.009
ours-cpp,stockdata,mean,0.05,600,0.025,0.9988,356056,0.002,0.0
ours-cpp,synthetic16m,L2,0.0,600,0.092,1.0,657712,0.0,0.0
ours-cpp,synthetic2m,L2LN,0.1,400,0.017,0.9848,176844,0.05,0.007
ours-cpp,synthetic1m,multi,0.0,400,0.009,1.0,412952,0.0,0.0
ours-cpp,sensordata,L2LN,0.01,400,0.134,0.996,789532,0.006,0.003
ours-cpp,synthetic1b,mean,0.1,800,0.171,0.9844,3603340,0.05,0.007
ours-cpp,synthetic2m,L2,0.0,800,0.064,1.0,518120,0.0,0.0
ours-cpp,synthetic64m,mean,0.05,600,0.081,0.9886,464256,0.021,0.005
ours-cpp,sensordata,boxcox0,0.01,200,0.005,1.0,661340,0.0,0.0
ours-cpp,nycdata,divide,0.0,200,0.012,1.0,823860,0.0,0.0
ours-cpp,synthetic256m,boxcox0,0.05,400,0.012,1.0,1070980,0.0,0.0
ours-cpp,stockdata,weightsum,0.1,1200,0.053,0.9997,288476,0.0,0.0
ours-cpp,synthetic1b,max,0.01,400,0.132,0.9908,3979128,0.009,0.004
ours-cpp,synthetic64m,L2LN,0.05,200,0.03,0.9943,528116,0.01,0.003
ours-cpp,synthetic2m,plus,0.1,1200,0.019,0.9794,109832,0.046,0.009
ours-cpp,synthetic128m,boxcox0,0.05,200,0.005,1.0,638512,0.0,0.0
