method,data,errorbound,function,width,iterations,time(s),memery(kb),error,nodecount,variable
ours-cpp-24,synthetic128m16v,0.10,L2LN,600,0,0.019,1749900,0.0000,27165,1
ours-cpp-24,synthetic128m16v,0.05,L2LN,600,0,0.018,1749900,0.0000,27165,1
ours-cpp-24,synthetic128m16v,0.01,L2LN,600,0,0.016,1749900,0.0000,27165,1
ours-cpp-24,synthetic128m16v,0.00,L2LN,600,0,0.015,1749900,0.0000,27165,1
ours-cpp-24,synthetic128m16v,0.10,L2LN,600,0,0.056,1749976,0.0358,27165,2
ours-cpp-24,synthetic128m16v,0.05,L2LN,600,0,0.043,1749976,0.0358,27165,2
ours-cpp-24,synthetic128m16v,0.01,L2LN,600,1,0.066,1753432,0.0075,57773,2
ours-cpp-24,synthetic128m16v,0.00,L2LN,600,11,0.087,1753432,0.0000,86708,2
ours-cpp-24,synthetic128m16v,0.10,L2LN,600,0,0.058,1749820,0.0344,27165,3
ours-cpp-24,synthetic128m16v,0.05,L2LN,600,0,0.056,1749820,0.0344,27165,3
ours-cpp-24,synthetic128m16v,0.01,L2LN,600,1,0.084,1751156,0.0057,55924,3
ours-cpp-24,synthetic128m16v,0.00,L2LN,600,12,0.134,1751156,0.0000,114725,3
ours-cpp-24,synthetic128m16v,0.10,L2LN,600,0,0.134,1749952,0.0390,27165,4
ours-cpp-24,synthetic128m16v,0.05,L2LN,600,0,0.076,1749952,0.0390,27165,4
ours-cpp-24,synthetic128m16v,0.01,L2LN,600,1,0.118,1754780,0.0074,57649,4
ours-cpp-24,synthetic128m16v,0.00,L2LN,600,24,0.177,1756872,0.0000,132982,4
ours-cpp-24,synthetic128m16v,0.10,L2LN,600,0,0.249,1750064,0.0413,27165,5
ours-cpp-24,synthetic128m16v,0.05,L2LN,600,0,0.092,1750064,0.0413,27165,5
ours-cpp-24,synthetic128m16v,0.01,L2LN,600,1,0.142,1755360,0.0095,57030,5
ours-cpp-24,synthetic128m16v,0.00,L2LN,600,32,0.238,1758184,0.0000,131393,5
ours-cpp-24,synthetic128m16v,0.10,L2LN,600,0,0.117,1750080,0.0380,27165,6
ours-cpp-24,synthetic128m16v,0.05,L2LN,600,0,0.111,1750080,0.0380,27165,6
ours-cpp-24,synthetic128m16v,0.01,L2LN,600,2,0.164,1754644,0.0055,70802,6
ours-cpp-24,synthetic128m16v,0.00,L2LN,600,44,0.323,1759192,0.0000,153315,6
ours-cpp-24,synthetic128m16v,0.10,L2LN,600,0,0.122,1749784,0.0418,27165,7
ours-cpp-24,synthetic128m16v,0.05,L2LN,600,0,0.122,1749784,0.0418,27165,7
ours-cpp-24,synthetic128m16v,0.01,L2LN,600,2,0.207,1756808,0.0074,67970,7
ours-cpp-24,synthetic128m16v,0.00,L2LN,600,41,0.326,1756808,0.0000,150313,7
ours-cpp-24,synthetic128m16v,0.10,L2LN,600,0,0.165,1749772,0.0457,27165,8
ours-cpp-24,synthetic128m16v,0.05,L2LN,600,0,0.138,1749772,0.0457,27165,8
ours-cpp-24,synthetic128m16v,0.01,L2LN,600,2,0.220,1757116,0.0077,64682,8
ours-cpp-24,synthetic128m16v,0.00,L2LN,600,61,0.558,1760812,0.0000,137921,8
ours-cpp-24,synthetic128m16v,0.10,L2LN,600,0,0.182,1749944,0.0440,27165,9
ours-cpp-24,synthetic128m16v,0.05,L2LN,600,0,0.153,1749944,0.0440,27165,9
ours-cpp-24,synthetic128m16v,0.01,L2LN,600,3,0.252,1760664,0.0070,83053,9
ours-cpp-24,synthetic128m16v,0.00,L2LN,600,65,0.440,1764912,0.0000,188303,9
ours-cpp-24,synthetic128m16v,0.10,L2LN,600,0,0.483,1750088,0.0425,27165,10
ours-cpp-24,synthetic128m16v,0.05,L2LN,600,0,0.168,1750088,0.0425,27165,10
