data,function,width,errorbound,ssim
nycdata,boxcox0,1000,0.0001,1.0
nycdata,boxcox0,1000,0.01,1.0
nycdata,boxcox0,1000,0.05,1.0
nycdata,boxcox0,1000,0.1,1.0
nycdata,boxcox0,1000,1e-08,1.0
nycdata,boxcox0,200,0.0001,1.0
nycdata,boxcox0,200,0.01,1.0
nycdata,boxcox0,200,0.05,1.0
nycdata,boxcox0,200,0.1,1.0
nycdata,boxcox0,200,1e-08,1.0
nycdata,boxcox0,400,0.0001,1.0
nycdata,boxcox0,400,0.01,1.0
nycdata,boxcox0,400,0.05,1.0
nycdata,boxcox0,400,0.1,1.0
nycdata,boxcox0,400,1e-08,1.0
nycdata,boxcox0,600,0.0001,1.0
nycdata,boxcox0,600,0.01,1.0
nycdata,boxcox0,600,0.05,1.0
nycdata,boxcox0,600,0.1,1.0
nycdata,boxcox0,600,1e-08,1.0
nycdata,boxcox0,800,0.0001,1.0
nycdata,boxcox0,800,0.01,1.0
nycdata,boxcox0,800,0.05,1.0
nycdata,boxcox0,800,0.1,1.0
nycdata,boxcox0,800,1e-08,1.0
nycdata,devide,1000,0.0001,0.9999
nycdata,devide,1000,0.01,0.9931
nycdata,devide,1000,0.05,0.971
nycdata,devide,1000,0.1,0.9561
nycdata,devide,1000,1e-08,1.0
nycdata,devide,200,0.0001,1.0
nycdata,devide,200,0.01,0.9933
nycdata,devide,200,0.05,0.9765
nycdata,devide,200,0.1,0.9531
nycdata,devide,200,1e-08,1.0
nycdata,devide,400,0.0001,0.9999
nycdata,devide,400,0.01,0.9937
nycdata,devide,400,0.05,0.9705
nycdata,devide,400,0.1,0.9565
nycdata,devide,400,1e-08,1.0
nycdata,devide,600,0.0001,0.9999
nycdata,devide,600,0.01,0.9942
nycdata,devide,600,0.05,0.9718
nycdata,devide,600,0.1,0.958
nycdata,devide,600,1e-08,1.0
nycdata,devide,800,0.0001,1.0
nycdata,devide,800,0.01,0.9935
nycdata,devide,800,0.05,0.9692
nycdata,devide,800,0.1,0.9565
nycdata,devide,800,1e-08,1.0
nycdata,func1,1000,0.0001,1.0
nycdata,func1,1000,0.01,1.0
nycdata,func1,1000,0.05,1.0
nycdata,func1,1000,0.1,1.0
nycdata,func1,1000,1e-08,1.0
nycdata,func1,200,0.0001,1.0
nycdata,func1,200,0.01,1.0
nycdata,func1,200,0.05,1.0
nycdata,func1,200,0.1,1.0
nycdata,func1,200,1e-08,1.0
nycdata,func1,400,0.0001,1.0
nycdata,func1,400,0.01,1.0
nycdata,func1,400,0.05,1.0
nycdata,func1,400,0.1,1.0
nycdata,func1,400,1e-08,1.0
nycdata,func1,600,0.0001,1.0
nycdata,func1,600,0.01,1.0
nycdata,func1,600,0.05,1.0
nycdata,func1,600,0.1,1.0
nycdata,func1,600,1e-08,1.0
nycdata,func1,800,0.0001,1.0
nycdata,func1,800,0.01,1.0
nycdata,func1,800,0.05,1.0
nycdata,func1,800,0.1,1.0
nycdata,func1,800,1e-08,1.0
nycdata,L2,1000,0.0001,0.9999
nycdata,L2,1000,0.01,0.9944
nycdata,L2,1000,0.05,0.9905
nycdata,L2,1000,0.1,0.9905
