method,data,errorbound,function,width,iterations,time(s),error,nodecount,memory(GB)
our-cpp,soccerdata,0.1,func1,200,0,0.003,0.0,1140,0.23313522338867188
our-cpp,soccerdata,0.1,func1,400,0,0.006,0.0,2139,0.23313522338867188
our-cpp,soccerdata,0.1,func1,600,0,0.008,0.0,3073,0.23313522338867188
our-cpp,soccerdata,0.1,func1,800,0,0.01,0.0,4008,0.23313522338867188
our-cpp,soccerdata,0.1,func1,1000,0,0.012,0.0,4874,0.23313522338867188
our-cpp,soccerdata,0.1,func1,1200,0,0.014,0.0,5743,0.23313522338867188
our-cpp,soccerdata,0.1,boxcox0,200,0,0.003,0.0,1140,0.23313522338867188
our-cpp,soccerdata,0.1,boxcox0,400,0,0.005,0.0,2139,0.23313522338867188
our-cpp,soccerdata,0.1,boxcox0,600,0,0.007,0.0,3073,0.23313522338867188
our-cpp,soccerdata,0.1,boxcox0,800,0,0.011,0.0,4008,0.23313522338867188
our-cpp,soccerdata,0.1,boxcox0,1000,0,0.013,0.0,4874,0.23313522338867188
our-cpp,soccerdata,0.1,boxcox0,1200,0,0.014,0.0,5743,0.23313522338867188
our-cpp,soccerdata,0.1,plus,200,1,0.016,0.0004,4966,0.234375
our-cpp,soccerdata,0.1,plus,400,1,0.02,0.0004,8474,0.234375
our-cpp,soccerdata,0.1,plus,600,1,0.027,0.0004,12533,0.234375
our-cpp,soccerdata,0.1,plus,800,1,0.034,0.0004,16477,0.234375
our-cpp,soccerdata,0.1,plus,1000,1,0.041,0.0003,20125,0.234375
our-cpp,soccerdata,0.1,plus,1200,1,0.049,0.0003,23850,0.234375
our-cpp,soccerdata,0.1,minus,200,1,0.01,0.0134,4730,0.234375
our-cpp,soccerdata,0.1,minus,400,1,0.019,0.0126,8224,0.234375
our-cpp,soccerdata,0.1,minus,600,1,0.027,0.012,11984,0.234375
our-cpp,soccerdata,0.1,minus,800,1,0.034,0.0094,15626,0.234375
our-cpp,soccerdata,0.1,minus,1000,1,0.043,0.0107,19282,0.234375
our-cpp,soccerdata,0.1,minus,1200,1,0.05,0.0104,22583,0.234375
our-cpp,soccerdata,0.1,multi,200,1,0.01,0.0192,4677,0.234375
our-cpp,soccerdata,0.1,multi,400,1,0.019,0.0142,8012,0.234375
our-cpp,soccerdata,0.1,multi,600,1,0.028,0.0113,11649,0.234375
our-cpp,soccerdata,0.1,multi,800,1,0.037,0.0089,14858,0.234375
our-cpp,soccerdata,0.1,multi,1000,1,0.046,0.008,18321,0.234375
our-cpp,soccerdata,0.1,multi,1200,1,0.054,0.0069,21114,0.234375
our-cpp,soccerdata,0.1,devide,200,14,0.022,0.0939,12813,0.234375
our-cpp,soccerdata,0.1,devide,400,8,0.032,0.0996,17382,0.234375
our-cpp,soccerdata,0.1,devide,600,6,0.041,0.0985,21796,0.234375
our-cpp,soccerdata,0.1,devide,800,5,0.052,0.0954,26789,0.23586273193359375
our-cpp,soccerdata,0.1,devide,1000,4,0.059,0.0983,29573,0.23809432983398438
our-cpp,soccerdata,0.1,devide,1200,4,0.091,0.0887,37721,0.23896408081054688
our-cpp,soccerdata,0.1,mean,200,3,0.07,0.0125,22606,0.23971176147460938
our-cpp,soccerdata,0.1,mean,400,2,0.056,0.0131,30899,0.23971176147460938
our-cpp,soccerdata,0.1,mean,600,1,0.067,0.0379,35064,0.23971176147460938
our-cpp,soccerdata,0.1,mean,800,1,0.084,0.0223,45121,0.23972320556640625
our-cpp,soccerdata,0.1,mean,1000,1,0.1,0.0198,54537,0.23993301391601562
our-cpp,soccerdata,0.1,mean,1200,1,0.115,0.0192,65057,0.24052810668945312
our-cpp,soccerdata,0.1,variance,200,1,0.026,0.002,13844,0.24052810668945312
our-cpp,soccerdata,0.1,variance,400,1,0.057,0.0007,25673,0.24176788330078125
our-cpp,soccerdata,0.1,variance,600,1,0.069,0.0008,37627,0.24176788330078125
our-cpp,soccerdata,0.1,variance,800,1,0.092,0.0004,48392,0.24176788330078125
our-cpp,soccerdata,0.1,variance,1000,1,0.108,0.0002,58303,0.24176788330078125
our-cpp,soccerdata,0.1,variance,1200,1,0.124,0.0002,68758,0.24176788330078125
