index,method,data,interaction-type,columns,nodecount,errorbound,function,width,start,end,iterations,sqltime,memeoryuse
0,DUCK-F-AM4-THREAD-16,nycsecond,interaction-start,7I9,0,0.05,plus,600,141998399,283996799,0,0.634,495504
1,DUCK-F-AM4-THREAD-16,nycsecond,interaction-change-func,7,0,0.05,func1,600,141998399,283996799,0,1.087,849500
2,DUCK-F-AM4-THREAD-16,nycsecond,interaction-change-func,7I9,0,0.05,plus,600,141998399,283996799,0,0.612,1205044
3,DUCK-F-AM4-THREAD-16,nycsecond,interaction-change-func,7I9I1I2I3I4I5I6I8I10I11,0,0.05,max,600,141998399,283996799,0,0.912,879440
4,DUCK-F-AM4-THREAD-16,nycsecond,interaction-resizeup,7I9I1I2I3I4I5I6I8I10I11,0,0.05,max,650,141998399,283996799,0,0.888,1243808
5,DUCK-F-AM4-THREAD-16,nycsecond,interaction-zoomdown,7I9I1I2I3I4I5I6I8I10I11,0,0.05,max,650,0,283996799,0,1.477,1405420
6,DUCK-F-AM4-THREAD-16,nycsecond,interaction-change-func,7I9,0,0.05,multi,650,0,283996799,0,0.817,1010036
7,DUCK-F-AM4-THREAD-16,nycsecond,interaction-change-column,8I4,0,0.05,multi,650,0,283996799,0,1.058,1827432
8,DUCK-F-AM4-THREAD-16,nycsecond,interaction-change-column,5I8,0,0.05,multi,650,0,283996799,0,0.822,2637792
9,DUCK-F-AM4-THREAD-16,nycsecond,interaction-change-func,7I9I1I2I3I4I5I6I8I10I11,0,0.05,mean,650,0,283996799,0,10.286,3504268
10,DUCK-F-AM4-THREAD-16,nycsecond,interaction-change-func,7I9,0,0.05,L22,650,0,283996799,0,1.748,4326852
11,DUCK-F-AM4-THREAD-16,nycsecond,interaction-change-column,8I4,0,0.05,L22,650,0,283996799,0,1.724,5161292
12,DUCK-F-AM4-THREAD-16,nycsecond,interaction-change-column,8I10,0,0.05,L22,650,0,283996799,0,1.922,5174420
13,DUCK-F-AM4-THREAD-16,nycsecond,interaction-resizedown,8I10,0,0.05,L22,600,0,283996799,0,1.98,5184204
14,DUCK-F-AM4-THREAD-16,nycsecond,interaction-change-column,3I9,0,0.05,L22,600,0,283996799,0,1.688,5990420
15,DUCK-F-AM4-THREAD-16,nycsecond,interaction-change-func,7I9I1I2I3I4I5I6I8I10I11,0,0.05,mean,600,0,283996799,0,9.715,6864264
16,DUCK-F-AM4-THREAD-16,nycsecond,interaction-zoomup,7I9I1I2I3I4I5I6I8I10I11,0,0.05,mean,600,70999200,212997599,0,5.033,7312872
17,DUCK-F-AM4-THREAD-16,nycsecond,interaction-change-func,1I4,0,0.05,devide,600,70999200,212997599,0,0.776,6833532
18,DUCK-F-AM4-THREAD-16,nycsecond,interaction-resizeup,1I4,0,0.05,devide,650,70999200,212997599,0,0.825,7206592
19,DUCK-F-AM4-THREAD-16,nycsecond,interaction-change-func,7I9,0,0.05,L22,650,70999200,212997599,0,0.893,7640648
20,DUCK-F-AM4-THREAD-16,nycsecond,interaction-change-func,7,0,0.05,boxcox0,650,70999200,212997599,0,0.733,7694576
21,DUCK-F-AM4-THREAD-16,nycsecond,interaction-change-column,2,0,0.05,boxcox0,650,70999200,212997599,0,0.787,8040816
22,DUCK-F-AM4-THREAD-16,nycsecond,interaction-resizeup,2,0,0.05,boxcox0,700,70999200,212997599,0,0.692,8391932
23,DUCK-F-AM4-THREAD-16,nycsecond,interaction-change-func,7I9,0,0.05,minus,700,70999200,212997599,0,0.459,8477544
24,DUCK-F-AM4-THREAD-16,nycsecond,interaction-change-column,1I4,0,0.05,minus,700,70999200,212997599,0,0.429,8503816
25,DUCK-F-AM4-THREAD-16,nycsecond,interaction-change-column,10I1,0,0.05,minus,700,70999200,212997599,0,0.493,8918188
26,DUCK-F-AM4-THREAD-16,nycsecond,interaction-change-column,10I8,0,0.05,minus,700,70999200,212997599,0,0.465,8557228
27,DUCK-F-AM4-THREAD-16,nycsecond,interaction-change-func,7I9,0,0.05,plus,700,70999200,212997599,0,0.511,8579060
28,DUCK-F-AM4-THREAD-16,nycsecond,interaction-paningleft,7I9,0,0.05,plus,700,37876989,179875388,0,0.464,9046024
29,DUCK-F-AM4-THREAD-16,nycsecond,interaction-zoomdown,7I9,0,0.05,plus,700,1,283996799,0,0.817,9010792
30,DUCK-F-AM4-THREAD-16,nycsecond,interaction-change-column,8I7,0,0.05,plus,700,1,283996799,0,0.846,9373276
31,DUCK-F-AM4-THREAD-16,nycsecond,interaction-resizeup,8I7,0,0.05,plus,750,1,283996799,0,0.894,9384448
32,DUCK-F-AM4-THREAD-16,nycsecond,interaction-change-column,7I4,0,0.05,plus,750,1,283996799,0,0.93,9384720
33,DUCK-F-AM4-THREAD-16,nycsecond,interaction-change-column,10I6,0,0.05,plus,750,1,283996799,0,0.979,10212408
34,DUCK-F-AM4-THREAD-16,nycsecond,interaction-change-func,7I9,0,0.05,multi,750,1,283996799,0,0.922,9379156
35,DUCK-F-AM4-THREAD-16,nycsecond,interaction-change-func,7I9I1I2I3I4I5I6I8I10I11,0,0.05,mean,750,1,283996799,0,10.438,10251464
36,DUCK-F-AM4-THREAD-16,nycsecond,interaction-resizedown,7I9I1I2I3I4I5I6I8I10I11,0,0.05,mean,700,1,283996799,0,9.75,11111388
37,DUCK-F-AM4-THREAD-16,nycsecond,interaction-change-func,7I9I1I2I3I4I5I6I8I10I11,0,0.05,max,700,1,283996799,0,1.277,9489692
38,DUCK-F-AM4-THREAD-16,nycsecond,interaction-change-func,7I9I1I2I3I4I5I6I8I10I11,0,0.05,weightsum,700,1,283996799,0,7.723,9501480
39,DUCK-F-AM4-THREAD-16,nycsecond,interaction-change-func,7I9,0,0.05,minus,700,1,283996799,0,0.788,9453016
40,DUCK-F-AM4-THREAD-16,nycsecond,interaction-change-column,4I8,0,0.05,minus,700,1,283996799,0,0.799,10275908
41,DUCK-F-AM4-THREAD-16,nycsecond,interaction-change-func,7,0,0.05,func1,700,1,283996799,0,1.469,11078624
