method,data,function,width,sqltime,memory(GB)
DUCK-F-AM4,synthetic128m,boxcox0,1000,0.869,2.6322021484375
DUCK-F-AM4,synthetic128m,devide,1000,0.842,3.791221618652344
DUCK-F-AM4,synthetic128m,func1,1000,0.911,2.657806396484375
DUCK-F-AM4,synthetic128m,L22,1000,0.938,7.6636962890625
DUCK-F-AM4,synthetic128m,L2LN,1000,1.868,6.336650848388672
DUCK-F-AM4,synthetic128m,L2,1000,1.615,4.969234466552734
DUCK-F-AM4,synthetic128m,max,1000,1.059,2.9657859802246094
DUCK-F-AM4,synthetic128m,mean,1000,0.984,4.623222351074219
DUCK-F-AM4,synthetic128m,minus,1000,0.811,3.790966033935547
DUCK-F-AM4,synthetic128m,multi,1000,0.824,3.792659759521485
DUCK-F-AM4,synthetic128m,plus,1000,0.805,3.4611778259277344
DUCK-F-AM4,synthetic128m,variance,1000,1.937,4.963798522949219
DUCK-F-AM4,synthetic128m,weightsum,1000,0.88,6.990898132324219
DUCK-F-AM4,synthetic16m,boxcox0,1000,0.156,0.5915451049804688
DUCK-F-AM4,synthetic16m,devide,1000,0.147,0.6789474487304688
DUCK-F-AM4,synthetic16m,func1,1000,0.165,0.5891036987304688
DUCK-F-AM4,synthetic16m,L22,1000,0.18,0.7403526306152344
DUCK-F-AM4,synthetic16m,L2LN,1000,0.352,0.8382911682128906
DUCK-F-AM4,synthetic16m,L2,1000,0.271,0.8925933837890625
DUCK-F-AM4,synthetic16m,max,1000,0.203,0.8904876708984375
DUCK-F-AM4,synthetic16m,mean,1000,0.176,0.8270645141601562
DUCK-F-AM4,synthetic16m,minus,1000,0.135,0.6805572509765625
DUCK-F-AM4,synthetic16m,multi,1000,0.143,0.68048095703125
DUCK-F-AM4,synthetic16m,plus,1000,0.142,0.655059814453125
DUCK-F-AM4,synthetic16m,variance,1000,0.348,0.8982772827148438
DUCK-F-AM4,synthetic16m,weightsum,1000,0.185,0.8897514343261719
DUCK-F-AM4,synthetic1b5v,boxcox0,1000,6.773,17.820667266845703
DUCK-F-AM4,synthetic1b5v,devide,1000,6.65,30.042144775390625
DUCK-F-AM4,synthetic1b5v,func1,1000,7.199,17.72476577758789
DUCK-F-AM4,synthetic1b5v,L22,1000,9.223,33.969486236572266
DUCK-F-AM4,synthetic1b5v,L2LN,1000,14.649,34.626739501953125
DUCK-F-AM4,synthetic1b5v,L2,1000,11.604,39.1065559387207
DUCK-F-AM4,synthetic1b5v,max,1000,8.967,37.51388549804688
DUCK-F-AM4,synthetic1b5v,mean,1000,7.791,38.98550415039063
DUCK-F-AM4,synthetic1b5v,minus,1000,6.615,32.41255187988281
DUCK-F-AM4,synthetic1b5v,multi,1000,6.485,32.4550666809082
DUCK-F-AM4,synthetic1b5v,plus,1000,6.488,32.3366584777832
DUCK-F-AM4,synthetic1b5v,variance,1000,14.036,39.72202301025391
DUCK-F-AM4,synthetic1b5v,weightsum,1000,8.109,37.53724670410156
DUCK-F-AM4,synthetic1m,boxcox0,1000,0.039,0.3043632507324219
DUCK-F-AM4,synthetic1m,devide,1000,0.046,0.3052749633789062
DUCK-F-AM4,synthetic1m,func1,1000,0.05,0.3175773620605469
DUCK-F-AM4,synthetic1m,L22,1000,0.049,0.3128547668457031
DUCK-F-AM4,synthetic1m,L2LN,1000,0.057,0.3266944885253906
DUCK-F-AM4,synthetic1m,L2,1000,0.05,0.3260841369628906
DUCK-F-AM4,synthetic1m,max,1000,0.038,0.3215599060058594
DUCK-F-AM4,synthetic1m,mean,1000,0.043,0.3189239501953125
DUCK-F-AM4,synthetic1m,minus,1000,0.034,0.3112869262695312
DUCK-F-AM4,synthetic1m,multi,1000,0.037,0.3105087280273437
DUCK-F-AM4,synthetic1m,plus,1000,0.029,0.3105049133300781
DUCK-F-AM4,synthetic1m,variance,1000,0.064,0.3286476135253906
DUCK-F-AM4,synthetic1m,weightsum,1000,0.034,0.3253822326660156
DUCK-F-AM4,synthetic256m,boxcox0,1000,1.356,11.88288116455078
DUCK-F-AM4,synthetic256m,devide,1000,1.33,15.603069305419922
DUCK-F-AM4,synthetic256m,func1,1000,1.625,9.424793243408203
DUCK-F-AM4,synthetic256m,L22,1000,1.892,24.57648086547852
DUCK-F-AM4,synthetic256m,L2LN,1000,3.202,30.52006149291992
DUCK-F-AM4,synthetic256m,L2,1000,2.593,13.09870147705078
DUCK-F-AM4,synthetic256m,max,1000,1.828,8.368846893310547
DUCK-F-AM4,synthetic256m,mean,1000,1.617,19.9882926940918
DUCK-F-AM4,synthetic256m,minus,1000,1.195,8.371723175048828
DUCK-F-AM4,synthetic256m,multi,1000,1.211,11.98281478881836
DUCK-F-AM4,synthetic256m,plus,1000,1.377,3.56424331665039
DUCK-F-AM4,synthetic256m,variance,1000,3.078,26.32660675048828
DUCK-F-AM4,synthetic256m,weightsum,1000,1.767,19.39429473876953
DUCK-F-AM4,synthetic2m,boxcox0,1000,0.037,0.3362159729003906
DUCK-F-AM4,synthetic2m,devide,1000,0.044,0.34979248046875
DUCK-F-AM4,synthetic2m,func1,1000,0.051,0.3353996276855469
DUCK-F-AM4,synthetic2m,L22,1000,0.055,0.3548736572265625
DUCK-F-AM4,synthetic2m,L2LN,1000,0.085,0.372772216796875
DUCK-F-AM4,synthetic2m,L2,1000,0.067,0.3702583312988281
DUCK-F-AM4,synthetic2m,max,1000,0.045,0.3645210266113281
DUCK-F-AM4,synthetic2m,mean,1000,0.046,0.3643760681152344
DUCK-F-AM4,synthetic2m,minus,1000,0.037,0.3465652465820312
DUCK-F-AM4,synthetic2m,multi,1000,0.038,0.3499641418457031
DUCK-F-AM4,synthetic2m,plus,1000,0.041,0.3469924926757812
DUCK-F-AM4,synthetic2m,variance,1000,0.086,0.3717193603515625
DUCK-F-AM4,synthetic2m,weightsum,1000,0.045,0.3666610717773437
DUCK-F-AM4,synthetic32m,boxcox0,1000,0.28,0.9239425659179688
DUCK-F-AM4,synthetic32m,devide,1000,0.27,1.189117431640625
DUCK-F-AM4,synthetic32m,func1,1000,0.293,0.9151039123535156
DUCK-F-AM4,synthetic32m,L22,1000,0.339,1.3200187683105469
DUCK-F-AM4,synthetic32m,L2LN,1000,0.681,1.5258865356445312
DUCK-F-AM4,synthetic32m,L2,1000,0.534,1.6588211059570312
DUCK-F-AM4,synthetic32m,max,1000,0.375,1.6582412719726562
DUCK-F-AM4,synthetic32m,mean,1000,0.342,1.528728485107422
DUCK-F-AM4,synthetic32m,minus,1000,0.261,1.1878395080566406
DUCK-F-AM4,synthetic32m,multi,1000,0.25,1.1878585815429688
DUCK-F-AM4,synthetic32m,plus,1000,0.248,1.1112518310546875
DUCK-F-AM4,synthetic32m,variance,1000,0.646,1.6657981872558594
DUCK-F-AM4,synthetic32m,weightsum,1000,0.33,1.6621055603027344
DUCK-F-AM4,synthetic4m,boxcox0,1000,0.051,0.356842041015625
DUCK-F-AM4,synthetic4m,devide,1000,0.058,0.3910560607910156
DUCK-F-AM4,synthetic4m,func1,1000,0.067,0.3638038635253906
DUCK-F-AM4,synthetic4m,L22,1000,0.072,0.4028129577636719
DUCK-F-AM4,synthetic4m,L2LN,1000,0.132,0.4363670349121094
DUCK-F-AM4,synthetic4m,L2,1000,0.096,0.4398422241210937
DUCK-F-AM4,synthetic4m,max,1000,0.079,0.4349861145019531
DUCK-F-AM4,synthetic4m,mean,1000,0.072,0.4256706237792969
DUCK-F-AM4,synthetic4m,minus,1000,0.055,0.3903846740722656
DUCK-F-AM4,synthetic4m,multi,1000,0.053,0.3923606872558594
DUCK-F-AM4,synthetic4m,plus,1000,0.056,0.3828964233398437
DUCK-F-AM4,synthetic4m,variance,1000,0.13,0.4342422485351562
DUCK-F-AM4,synthetic4m,weightsum,1000,0.074,0.4370918273925781
DUCK-F-AM4,synthetic512m5v,boxcox0,1000,3.841,19.92314910888672
DUCK-F-AM4,synthetic512m5v,devide,1000,1.945,37.33168411254883
DUCK-F-AM4,synthetic512m5v,func1,1000,4.022,11.027210235595703
DUCK-F-AM4,synthetic512m5v,L22,1000,4.253,16.75204086303711
DUCK-F-AM4,synthetic512m5v,L2LN,1000,7.82,20.448753356933597
DUCK-F-AM4,synthetic512m5v,L2,1000,2.968,50.326263427734375
DUCK-F-AM4,synthetic512m5v,max,1000,2.247,32.294708251953125
DUCK-F-AM4,synthetic512m5v,mean,1000,2.296,50.03200912475586
DUCK-F-AM4,synthetic512m5v,minus,1000,2.092,15.313796997070312
DUCK-F-AM4,synthetic512m5v,multi,1000,1.979,26.31627655029297
DUCK-F-AM4,synthetic512m5v,plus,1000,2.145,4.302940368652344
DUCK-F-AM4,synthetic512m5v,variance,1000,3.671,14.331939697265623
DUCK-F-AM4,synthetic512m5v,weightsum,1000,4.222,20.40659713745117
DUCK-F-AM4,synthetic64m,boxcox0,1000,0.505,1.4614295959472656
DUCK-F-AM4,synthetic64m,devide,1000,0.488,2.0073471069335938
DUCK-F-AM4,synthetic64m,func1,1000,0.515,1.5174827575683594
DUCK-F-AM4,synthetic64m,L22,1000,0.583,2.2134323120117188
DUCK-F-AM4,synthetic64m,L2LN,1000,1.145,2.523548126220703
DUCK-F-AM4,synthetic64m,L2,1000,0.967,2.7189483642578125
DUCK-F-AM4,synthetic64m,max,1000,0.647,2.717517852783203
DUCK-F-AM4,synthetic64m,mean,1000,0.58,2.5145835876464844
DUCK-F-AM4,synthetic64m,minus,1000,0.432,2.004413604736328
DUCK-F-AM4,synthetic64m,multi,1000,0.458,2.0044898986816406
DUCK-F-AM4,synthetic64m,plus,1000,0.471,1.8479156494140625
DUCK-F-AM4,synthetic64m,variance,1000,1.088,2.723114013671875
DUCK-F-AM4,synthetic64m,weightsum,1000,0.573,2.7221755981445312
DUCK-F-AM4,synthetic8m,boxcox0,1000,0.09,0.4211006164550781
DUCK-F-AM4,synthetic8m,devide,1000,0.084,0.4771270751953125
DUCK-F-AM4,synthetic8m,func1,1000,0.094,0.4254417419433594
DUCK-F-AM4,synthetic8m,L22,1000,0.114,0.5109596252441406
DUCK-F-AM4,synthetic8m,L2LN,1000,0.197,0.5708122253417969
DUCK-F-AM4,synthetic8m,L2,1000,0.154,0.5962066650390625
DUCK-F-AM4,synthetic8m,max,1000,0.118,0.6016159057617188
DUCK-F-AM4,synthetic8m,mean,1000,0.11,0.5667610168457031
DUCK-F-AM4,synthetic8m,minus,1000,0.083,0.4764137268066406
DUCK-F-AM4,synthetic8m,multi,1000,0.09,0.4686012268066406
DUCK-F-AM4,synthetic8m,plus,1000,0.084,0.4596099853515625
DUCK-F-AM4,synthetic8m,variance,1000,0.198,0.6104965209960938
DUCK-F-AM4,synthetic8m,weightsum,1000,0.104,0.6019859313964844
DUCK-F-AM4,synthetic128m,boxcox0,12000,0.92,2.283634185791016
DUCK-F-AM4,synthetic128m,devide,12000,0.864,3.4565582275390625
DUCK-F-AM4,synthetic128m,func1,12000,0.991,1.985614776611328
DUCK-F-AM4,synthetic128m,L22,12000,1.17,3.735050201416016
DUCK-F-AM4,synthetic128m,L2LN,12000,1.892,2.239295959472656
DUCK-F-AM4,synthetic128m,L2,12000,1.602,4.452239990234375
DUCK-F-AM4,synthetic128m,max,12000,1.23,3.5872039794921875
DUCK-F-AM4,synthetic128m,mean,12000,1.094,4.069938659667969
DUCK-F-AM4,synthetic128m,minus,12000,0.893,3.138633728027344
DUCK-F-AM4,synthetic128m,multi,12000,0.855,3.1981735229492188
DUCK-F-AM4,synthetic128m,plus,12000,0.862,2.5214920043945312
DUCK-F-AM4,synthetic128m,variance,12000,1.806,2.780651092529297
DUCK-F-AM4,synthetic128m,weightsum,12000,1.108,3.549175262451172
DUCK-F-AM4,synthetic16m,boxcox0,12000,0.168,0.7135391235351562
DUCK-F-AM4,synthetic16m,devide,12000,0.152,1.0795783996582031
DUCK-F-AM4,synthetic16m,func1,12000,0.174,0.5219688415527344
DUCK-F-AM4,synthetic16m,L22,12000,0.195,1.3856964111328125
