method,data,interaction-type,columns,errorBound,function,width,start,end,iterations,sqltime,memeoryuse,error,nodecount,ssim
ours-cpp-16,synthetic1b5v,interaction-start,1I2,0.05,plus,600,499999999,999999999,1,0.097,5307000,0.0235,64198,0.9933
ours-cpp-16,synthetic1b5v,interaction-change-func,1I2,0.05,L22,600,499999999,999999999,1,0.072,5307000,0.0131,64672,0.9897
ours-cpp-16,synthetic1b5v,interaction-change-func,1,0.05,func1,600,499999999,999999999,0,0.035,5307000,0.0,27415,1.0
ours-cpp-16,synthetic1b5v,interaction-zoomup,1,0.05,func1,600,624999999,874999999,0,0.035,5307000,0.0,25821,1.0
ours-cpp-16,synthetic1b5v,interaction-change-func,1I2I3I4I5,0.05,max,600,624999999,874999999,0,0.164,5307000,0.0198,25821,0.9876
ours-cpp-16,synthetic1b5v,interaction-change-func,1I2,0.05,minus,600,624999999,874999999,0,0.05,5307000,0.0412,25821,0.9767
ours-cpp-16,synthetic1b5v,interaction-change-func,1I2,0.05,L22,600,624999999,874999999,0,0.051,5307000,0.0361,25821,0.9769
ours-cpp-16,synthetic1b5v,interaction-change-column,4I3,0.05,L22,600,624999999,874999999,0,0.056,5307000,0.0455,25821,0.9727
ours-cpp-16,synthetic1b5v,interaction-change-func,1I2I3I4I5,0.05,variance,600,624999999,874999999,1,0.156,5307000,0.0297,58500,0.9868
ours-cpp-16,synthetic1b5v,interaction-change-func,1I2,0.05,minus,600,624999999,874999999,0,0.053,5307000,0.0412,25821,0.9767
ours-cpp-16,synthetic1b5v,interaction-change-column,5I1,0.05,minus,600,624999999,874999999,0,0.053,5307000,0.0497,25821,0.9782
ours-cpp-16,synthetic1b5v,interaction-change-func,1,0.05,boxcox0,600,624999999,874999999,0,0.028,5307000,0.0,25821,1.0
ours-cpp-16,synthetic1b5v,interaction-resizeup,1,0.05,boxcox0,650,624999999,874999999,0,0.031,5307000,0.0,26921,1.0
ours-cpp-16,synthetic1b5v,interaction-change-column,5,0.05,boxcox0,650,624999999,874999999,0,0.029,5307000,0.0,26921,1.0
ours-cpp-16,synthetic1b5v,interaction-paningleft,5,0.05,boxcox0,650,500220594,750220594,0,0.028,5307000,0.0,26601,1.0
ours-cpp-16,synthetic1b5v,interaction-change-func,1I2I3I4I5,0.05,max,650,500220594,750220594,0,0.14,5307000,0.0268,26601,0.9865
ours-cpp-16,synthetic1b5v,interaction-change-func,1I2I3I4I5,0.05,L2,650,500220594,750220594,1,0.15,5307000,0.0227,63720,0.9944
ours-cpp-16,synthetic1b5v,interaction-resizedown,1I2I3I4I5,0.05,L2,600,500220594,750220594,1,0.155,5307000,0.0234,59152,0.9929
