data,interaction-type,columns,errorBound,function,width,start,end,iterations,sqltime,memeoryuse,error,nodecount,ssim
nycsecond,interaction-start,7I9,0.05,plus,600,141998399,283996799,5,0.057,1767692,0.0456,62048,0.971
nycsecond,interaction-change-func,7,0.05,func1,600,141998399,283996799,1,0.024,1767692,0.0,43663,1.0
nycsecond,interaction-change-func,7I9,0.05,plus,600,141998399,283996799,5,0.039,1767692,0.0456,63172,0.971
nycsecond,interaction-change-func,7I9I1I2I3I4I5I6I8I10I11,0.05,max,600,141998399,283996799,0,0.2,1768128,0.0023,27411,0.9985
nycsecond,interaction-resizeup,7I9I1I2I3I4I5I6I8I10I11,0.05,max,650,141998399,283996799,0,0.157,1768128,0.0018,25767,0.9989
nycsecond,interaction-zoomdown,7I9I1I2I3I4I5I6I8I10I11,0.05,max,650,0,283996799,0,0.167,1768128,0.0021,27189,0.9992
nycsecond,interaction-change-func,7I9,0.05,multi,650,0,283996799,13,0.059,1771248,0.0462,145677,0.9796
nycsecond,interaction-resizeup,7I9,0.05,multi,700,0,283996799,12,0.064,1772028,0.0477,150384,0.98
nycsecond,interaction-resizedown,7I9,0.05,multi,650,0,283996799,13,0.058,1772028,0.0462,147210,0.9796
nycsecond,interaction-change-func,7I9I1I2I3I4I5I6I8I10I11,0.05,max,650,0,283996799,0,0.185,1772028,0.0021,27189,0.9992
nycsecond,interaction-change-func,7I9,0.05,L22,650,0,283996799,1,0.038,1772028,0.0367,46444,0.9798
nycsecond,interaction-change-column,8I4,0.05,L22,650,0,283996799,1,0.055,1772028,0.0,50794,1.0
nycsecond,interaction-change-column,8I10,0.05,L22,650,0,283996799,1,0.059,1772028,0.0008,53079,0.9998
nycsecond,interaction-resizedown,8I10,0.05,L22,600,0,283996799,1,0.065,1772028,0.0006,53320,0.9998
nycsecond,interaction-change-column,3I9,0.05,L22,600,0,283996799,1,0.057,1772436,0.0071,48633,0.9945
nycsecond,interaction-change-func,7I9I1I2I3I4I5I6I8I10I11,0.05,L2,600,0,283996799,1,0.322,1772856,0.0007,52146,0.9998
nycsecond,interaction-zoomup,7I9I1I2I3I4I5I6I8I10I11,0.05,L2,600,70999200,212997599,1,0.242,1773028,0.001,49351,0.9996
nycsecond,interaction-change-func,1I4,0.05,devide,600,70999200,212997599,8,0.057,1773072,0.0457,93124,0.9712
