experiment,table,function,errorbound,width,time,sqltime,ssim,memory(GB)
OM3,nycdata,boxcox0,0,1000,0.169,0.09,1.0,5.3992919921875
OM3,nycdata,boxcox0,0,1200,0.478,0.38,1.0,0.3955726623535156
OM3,nycdata,boxcox0,0,200,0.041,0.022,1.0,5.3818817138671875
OM3,nycdata,boxcox0,0,400,0.068,0.036,1.0,5.389911651611328
OM3,nycdata,boxcox0,0,600,0.103,0.052,1.0,0.28015899658203125
OM3,nycdata,boxcox0,0,800,0.136,0.072,1.0,5.390468597412109
OM3,nycdata,devide,0,1000,0.217,0.096,0.9524,0.3976325988769531
OM3,nycdata,devide,0,1200,0.306,0.108,0.9526,0.3662223815917969
OM3,nycdata,devide,0,200,0.04,0.021,0.9587,0.36478424072265625
OM3,nycdata,devide,0,400,0.092,0.043,0.9555,0.3726921081542969
OM3,nycdata,devide,0,600,0.134,0.06,0.9539,0.3146095275878906
OM3,nycdata,devide,0,800,0.209,0.089,0.9533,0.3960075378417969
OM3,nycdata,func1,0,1000,0.172,0.092,1.0,5.365814208984375
OM3,nycdata,func1,0,1200,0.174,0.093,1.0,5.374271392822266
OM3,nycdata,func1,0,200,0.034,0.026,1.0,5.3484039306640625
OM3,nycdata,func1,0,400,0.055,0.038,1.0,5.356433868408203
OM3,nycdata,func1,0,600,0.102,0.057,1.0,0.272003173828125
OM3,nycdata,func1,0,800,0.128,0.064,1.0,5.356990814208984
OM3,nycdata,L2,0,1000,0.539,0.111,0.9635,0.5085411071777344
OM3,nycdata,L2,0,1200,0.618,0.135,0.9622,0.5106010437011719
OM3,nycdata,L2,0,200,0.175,0.034,0.9655,0.5038337707519531
OM3,nycdata,L2,0,400,0.318,0.069,0.9643,0.5042686462402344
OM3,nycdata,L2,0,600,0.435,0.103,0.9646,0.4301605224609375
OM3,nycdata,L2,0,800,0.532,0.112,0.9647,0.5070533752441406
OM3,nycdata,L22,0,1000,0.31,0.1,0.972,0.4009284973144531
OM3,nycdata,L22,0,1200,0.238,0.1,0.9729,0.35364532470703125
OM3,nycdata,L22,0,200,0.029,0.015,0.9653,0.595947265625
OM3,nycdata,L22,0,400,0.063,0.038,0.969,0.595947265625
OM3,nycdata,L22,0,600,0.115,0.056,0.9717,0.4390296936035156
OM3,nycdata,L22,0,800,0.168,0.079,0.9719,0.5978736877441406
OM3,nycdata,L2LN,0,1000,0.749,0.128,0.8902,0.5062255859375
OM3,nycdata,L2LN,0,1200,0.851,0.144,0.879,0.5075645446777344
OM3,nycdata,L2LN,0,200,0.206,0.036,0.9278,0.4380073547363281
OM3,nycdata,L2LN,0,400,0.329,0.074,0.9253,0.509002685546875
OM3,nycdata,L2LN,0,600,0.482,0.104,0.9211,0.40717315673828125
OM3,nycdata,L2LN,0,800,0.579,0.114,0.9061,0.494964599609375
OM3,nycdata,max,0,1000,0.763,0.128,0.999,0.5044479370117188
OM3,nycdata,max,0,1200,0.844,0.14,0.9988,0.502960205078125
OM3,nycdata,max,0,200,0.174,0.036,0.9992,0.5038337707519531
OM3,nycdata,max,0,400,0.307,0.068,0.9992,0.5042686462402344
OM3,nycdata,max,0,600,0.439,0.101,0.9992,0.4301605224609375
OM3,nycdata,max,0,800,0.578,0.11,0.9992,0.49121856689453125
OM3,nycdata,mean,0,1000,0.81,0.143,0.9387,0.46662139892578125
OM3,nycdata,mean,0,1200,0.919,0.141,0.9345,0.4960899353027344
OM3,nycdata,mean,0,200,0.218,0.037,0.9458,0.4335212707519531
OM3,nycdata,mean,0,400,0.327,0.073,0.9442,0.4964866638183594
OM3,nycdata,mean,0,600,0.474,0.102,0.9446,0.3601570129394531
OM3,nycdata,mean,0,800,0.612,0.114,0.943,0.4910469055175781
OM3,nycdata,minus,0,1000,0.221,0.099,0.9331,0.3843727111816406
OM3,nycdata,minus,0,1200,0.241,0.1,0.9328,0.39591217041015625
OM3,nycdata,minus,0,200,0.04,0.02,0.9354,0.3809700012207031
OM3,nycdata,minus,0,400,0.088,0.041,0.9342,0.38121795654296875
OM3,nycdata,minus,0,600,0.155,0.062,0.9354,0.3049278259277344
OM3,nycdata,minus,0,800,0.188,0.081,0.9343,0.3666801452636719
OM3,nycdata,multi,0,1000,0.214,0.095,0.9586,0.3984336853027344
